A_pI,A_distance,A_hbond_acceptors,A_hbond_donors,B_pI,B_distance,B_hbond_acceptors,B_hbond_donors,MOF_potential,M_CO_binding_energy,PS_absorption_wavelength,PS_potential,Solvent_dielectric,Solvent_hbond_acceptors,Solvent_hbond_donors,CO2_solubility,H2O_concentration,Sacrificial_agent_potential,Sacrificial_agent_concentration
6.00,3.20,3,2,5.80,4.00,3,2,-0.85,-1.35,480,1.28,35.0,2,1,0.035,10.0,-0.40,0.15
6.50,2.80,4,1,6.10,3.50,2,1,-0.90,-1.45,500,1.22,30.0,1,2,0.030,8.0,-0.38,0.12
5.50,4.00,2,3,6.40,3.20,4,3,-0.80,-1.25,460,1.32,40.0,3,1,0.040,15.0,-0.45,0.20
6.20,3.50,5,2,5.70,4.50,3,1,-0.95,-1.50,520,1.18,25.0,1,0,0.025,6.0,-0.35,0.10
5.80,3.80,3,1,6.20,3.80,5,2,-0.88,-1.40,490,1.25,38.0,2,2,0.038,12.0,-0.42,0.18
6.40,2.60,4,3,5.90,4.20,2,2,-0.82,-1.28,450,1.30,28.0,2,1,0.028,7.0,-0.36,0.09
5.70,4.30,2,2,6.30,3.10,4,1,-0.92,-1.48,510,1.20,42.0,3,2,0.042,18.0,-0.48,0.25
6.10,3.00,3,1,5.60,4.70,3,3,-0.78,-1.22,440,1.35,33.0,1,1,0.033,9.0,-0.39,0.14
5.90,3.60,4,2,6.00,3.60,2,2,-0.86,-1.38,470,1.26,36.0,2,1,0.036,11.0,-0.41,0.16
6.30,3.40,2,1,5.75,4.30,4,1,-0.84,-1.30,505,1.24,32.0,1,2,0.032,13.0,-0.43,0.19
5.60,4.50,3,3,6.45,3.30,3,2,-0.97,-1.55,530,1.16,45.0,3,1,0.045,20.0,-0.47,0.22
6.45,2.70,5,2,5.65,4.60,2,1,-0.76,-1.18,435,1.38,24.0,2,0,0.022,5.0,-0.30,0.05
