A_pI,A_distance,A_hbond_acceptors,A_hbond_donors,B_pI,B_distance,B_hbond_acceptors,B_hbond_donors,MOF_potential,M_CO_binding_energy,PS_absorption_wavelength,PS_potential,Solvent_dielectric,Solvent_hbond_acceptors,Solvent_hbond_donors,CO2_solubility,H2O_concentration,Sacrificial_agent_potential,Sacrificial_agent_concentration,Y
5.97,3.45,3,2,6.02,4.12,4,1,-0.85,-1.32,450,1.25,36.7,2,2,0.034,5.0,-0.41,0.10,45.2
6.10,2.98,2,3,5.74,3.89,3,2,-0.92,-1.45,480,1.18,32.5,1,1,0.029,10.0,-0.38,0.15,52.8
5.48,4.21,4,1,6.30,3.56,2,3,-0.78,-1.28,520,1.35,46.5,3,2,0.041,15.0,-0.45,0.20,38.6
6.52,3.12,3,2,5.65,4.45,4,2,-0.95,-1.51,460,1.22,24.3,1,0,0.025,8.0,-0.35,0.12,61.3
5.80,3.78,2,1,6.18,3.22,3,1,-0.88,-1.38,500,1.30,40.2,2,1,0.037,12.0,-0.42,0.18,49.5
6.25,2.65,5,3,5.90,4.78,2,2,-0.82,-1.25,440,1.28,28.9,2,2,0.032,6.0,-0.39,0.08,55.7
5.65,4.55,3,2,6.45,3.10,5,1,-0.90,-1.42,510,1.20,38.1,3,1,0.039,20.0,-0.44,0.25,42.1
6.35,3.33,4,1,5.55,4.90,3,3,-0.75,-1.19,470,1.32,42.8,1,3,0.028,7.0,-0.36,0.11,58.9
5.92,3.90,2,3,6.08,3.65,4,2,-0.98,-1.55,530,1.15,35.4,2,1,0.043,18.0,-0.47,0.22,35.4
6.18,2.78,3,2,5.82,4.33,2,1,-0.86,-1.35,490,1.27,30.6,1,2,0.031,9.0,-0.40,0.14,57.2
5.55,4.10,4,1,6.40,3.45,3,2,-0.93,-1.48,455,1.23,44.2,3,1,0.036,11.0,-0.43,0.17,40.8
6.42,3.55,2,3,5.70,4.65,5,1,-0.80,-1.22,505,1.33,26.7,2,0,0.027,14.0,-0.37,0.19,63.5
5.75,2.88,3,2,6.15,3.78,2,3,-0.96,-1.52,475,1.19,39.8,1,2,0.040,16.0,-0.46,0.23,36.9
6.08,4.42,5,1,5.60,3.15,4,2,-0.83,-1.30,525,1.26,33.1,2,1,0.033,4.0,-0.34,0.09,54.1
5.88,3.22,2,2,6.28,4.55,3,1,-0.91,-1.44,445,1.31,47.3,3,3,0.045,22.0,-0.48,0.28,31.7
6.30,3.68,4,3,5.78,3.35,2,2,-0.87,-1.36,495,1.24,29.5,1,1,0.030,13.0,-0.41,0.16,59.8
5.70,4.32,3,1,6.35,4.20,4,3,-0.94,-1.49,465,1.17,41.6,2,2,0.038,19.0,-0.45,0.21,37.3
6.15,2.55,2,2,5.95,3.95,3,1,-0.79,-1.24,515,1.34,34.8,3,0,0.026,6.5,-0.33,0.07,60.2
5.60,3.98,4,3,6.22,3.50,5,2,-0.97,-1.53,435,1.21,43.9,1,2,0.042,17.0,-0.46,0.24,33.5
6.48,3.08,3,1,5.68,4.80,2,1,-0.81,-1.26,485,1.29,27.2,2,1,0.028,8.5,-0.38,0.13,62.7
5.82,4.65,5,2,6.12,3.28,3,3,-0.89,-1.40,500,1.16,37.5,3,2,0.035,21.0,-0.49,0.26,39.4
6.22,2.72,2,1,5.85,4.42,4,2,-0.84,-1.33,455,1.25,31.4,1,1,0.031,10.5,-0.40,0.15,56.5
5.95,3.42,3,3,6.05,3.72,2,1,-0.92,-1.46,520,1.22,45.1,2,3,0.044,15.5,-0.44,0.20,43.8
6.38,3.85,4,2,5.58,4.15,3,2,-0.76,-1.20,470,1.36,25.8,3,0,0.024,5.5,-0.32,0.06,65.1
5.52,4.48,2,1,6.48,3.00,5,3,-0.99,-1.58,540,1.14,48.6,1,2,0.046,24.0,-0.50,0.30,28.9
